"Block","Tank.Unique","Pred","Hatch","Res","Age.DPO","Age.FromEmergence","SVL.initial","Tail.initial","SVL.final","Mass.final","Resorb.days"
1,1,"NL","L","Hi",47.1914893617021,13.1914893617021,19.4255319148936,4.83404255319149,19.6595744680851,0.417872340425532,3.48936170212766
1,2,"C","E","Hi",45.3809523809524,11.3809523809524,18.4047619047619,5.36904761904762,19.0095238095238,0.382142857142857,3.78571428571429
1,3,"C","L","Hi",53.8222222222222,19.8222222222222,18.9266666666667,4.80222222222222,19.12,0.411777777777778,3.51111111111111
1,4,"L","L","Lo",56.9230769230769,22.9230769230769,18.8269230769231,4.63461538461539,19.1153846153846,0.382307692307692,3.65384615384615
1,5,"NL","E","Hi",64.75,30.75,19.715,5.435,20.11,0.4865,4.225
1,6,"L","E","Hi",44,10,21.475,7.8375,21.975,0.7375,5
1,7,"NL","L","Lo",67.6744186046512,33.6744186046512,18.9813953488372,5.96744186046512,19.2813953488372,0.40906976744186,4.09302325581395
1,8,"C","E","Lo",95.8974358974359,61.8974358974359,17.8794871794872,5.7,18.4051282051282,0.360512820512821,4.82051282051282
1,9,"L","L","Hi",45.1739130434783,11.1739130434783,21.3086956521739,6.89130434782609,21.6521739130435,0.59,4.21739130434783
1,10,"C","L","Lo",64.9090909090909,30.9090909090909,18.8613636363636,4.89318181818182,19.2477272727273,0.397954545454545,3.70454545454545
1,11,"NL","E","Lo",71.7380952380952,37.7380952380952,19.1428571428571,6.06190476190476,19.397619047619,0.418571428571429,4.23809523809524
1,12,"L","E","Lo",53.0454545454545,19.0454545454545,19.5772727272727,5.73181818181818,19.7681818181818,0.433636363636364,3.81818181818182
2,13,"NL","L","Hi",58.5454545454545,24.5454545454545,19.1,5.48636363636364,19.4659090909091,0.43,4.22727272727273
2,14,"NL","L","Lo",100.272727272727,66.2727272727273,17.8022727272727,5.33863636363636,18.0409090909091,0.346818181818182,4.56818181818182
2,15,"NL","E","Lo",102.8,68.8,17.63,5.7225,18.225,0.333,5.175
2,16,"C","L","Hi",60.8181818181818,26.8181818181818,17.9909090909091,5.62045454545455,18.2818181818182,0.357727272727273,4.25
2,17,"L","E","Hi",42.65,8.65,19.69,5.56,20.44,0.514,3.8
2,18,"C","L","Lo",90.5641025641026,56.5641025641026,18.2230769230769,5.84871794871795,18.374358974359,0.37025641025641,4.97435897435897
2,19,"NL","E","Hi",59.675,25.675,19.36,5.585,19.6975,0.43175,4.55
2,20,"L","L","Lo",82.1621621621622,48.1621621621622,19.0135135135135,5.71351351351351,19.4135135135135,0.398648648648649,4.45945945945946
2,21,"C","E","Lo",135.121212121212,101.121212121212,18.2333333333333,6.7969696969697,18.6454545454545,0.38030303030303,5.3030303030303
2,22,"C","E","Hi",65.3783783783784,31.3783783783784,19.6432432432432,6.0027027027027,19.9351351351351,0.462972972972973,4.16216216216216
2,23,"L","L","Hi",47.2903225806452,13.2903225806452,18.9903225806452,6.23225806451613,19.3451612903226,0.411612903225806,4.48387096774194
2,24,"L","E","Lo",48,14,21.76,7.8,22.6,0.712,5.6
3,25,"C","L","Hi",71.5121951219512,37.5121951219512,20.0585365853659,6.28048780487805,20.2829268292683,0.479512195121951,4.09756097560976
3,26,"L","E","Lo",46,12,22.3,7.75,23.2,0.71,6.5
3,27,"NL","E","Lo",45.1052631578947,11.1052631578947,19.7105263157895,5.5,20.0368421052632,0.458421052631579,3.94736842105263
3,28,"NL","E","Hi",54.2758620689655,20.2758620689655,19.348275862069,6.10689655172414,19.3379310344828,0.423103448275862,4.37931034482759
3,29,"NL","L","Lo",140.90243902439,106.90243902439,18.0536585365854,6.12926829268293,18.2390243902439,0.338780487804878,5.53658536585366
3,30,"NL","L","Hi",66.05,32.05,19.97,6.46,20.45,0.4785,4.575
3,31,"C","L","Lo",115.809523809524,81.8095238095238,18.8666666666667,6.53095238095238,19.2190476190476,0.402619047619048,4.85714285714286
3,32,"L","L","Lo",50.4615384615385,16.4615384615385,20.0538461538462,6.76153846153846,20.4769230769231,0.466923076923077,4.46153846153846
3,33,"C","E","Lo",49.0909090909091,15.0909090909091,18.0227272727273,5.75,18.2,0.364090909090909,4.04545454545455
3,34,"L","L","Hi",48.8846153846154,14.8846153846154,20.2884615384615,6.86153846153846,20.6153846153846,0.475384615384615,4.23076923076923
3,35,"L","E","Hi",41.8333333333333,7.83333333333333,21.9166666666667,7.45833333333333,22.4,0.643333333333333,4.5
3,36,"C","E","Hi",51.9285714285714,17.9285714285714,18.1214285714286,4.86785714285714,18.7392857142857,0.37,4.03571428571429
4,38,"C","E","Hi",67.25,33.25,17.94,5.3275,18.2175,0.3645,4.1
4,39,"C","L","Hi",83,49,19.1822222222222,5.86444444444444,19.5288888888889,0.417333333333333,4.75555555555556
